Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146511,16,1.1951,0.0651,0.5781,-1.0386,0.5817,-1.3433,1.4587,-1.0,2.383,0.7719,-1.9597,1.1096,2.1063,0.5051,-1.1956,1.0,3.1919
146511,17,17.169,-3.7019,-2.6953,16.5467,4.5792,1.9964,-2.5123,-1.0,3.2908,-1.204,-0.9387,2.9134,1.5266,1.4019,-2.4794,1.0,1.6233
146511,18,4.9506,-3.8606,-3.0653,-0.444,4.9295,-0.0899,-2.4705,-1.0,4.5894,2.9237,3.4943,-0.5412,4.5561,-0.1185,0.8741,1.0,9.4328
146511,19,1.6572,0.5698,1.4715,0.495,1.578,0.3087,1.2014,1.0,1.7893,-0.1172,-1.5386,0.8996,1.5431,0.5542,-1.6468,-1.0,3.1183
146511,20,5.6146,-5.4468,0.5465,1.2436,5.4741,0.2253,3.0416,1.0,7.611,2.0254,-0.5473,7.3154,2.098,1.9621,-0.2639,-1.0,9.4845
146511,21,10.1025,-5.6449,-4.3713,7.1467,7.1396,0.8821,-2.4827,-1.0,10.171,4.9836,5.8007,-6.7048,7.6475,-0.7915,0.861,1.0,20.2074
146511,22,50.9217,31.9931,-24.5969,31.0555,40.3554,0.7087,-0.6554,1.0,43.5956,-23.672,18.0827,-31.8311,29.7883,-0.929,2.4893,-1.0,93.9214
146511,23,50.6753,13.8396,45.6856,-17.0077,47.7358,-0.3492,1.2767,-1.0,47.2472,-5.294,-45.4856,-11.6329,45.7926,-0.2514,-1.6867,1.0,93.2495
146511,24,15.6213,1.8668,3.1494,15.1858,3.6611,2.13,1.0357,1.0,24.812,6.4285,-6.4624,23.0767,9.1153,1.6589,-0.788,-1.0,9.5414
146511,25,2.2655,-0.0443,1.426,1.7567,1.4267,1.0359,1.6019,-1.0,1.2436,1.1592,-0.323,0.2954,1.2033,0.2431,-0.2718,1.0,2.3755
146511,26,18.1539,3.0247,3.2192,-17.608,4.4172,-2.0914,0.8165,1.0,39.9892,4.077,10.5882,-38.3457,11.346,-1.9321,1.2032,-1.0,2.9543
146511,27,2.5167,-2.4784,-0.4217,0.0436,2.5141,0.0174,-2.9731,-1.0,2.4791,2.4335,0.4613,0.0015,2.4768,0.0006,0.1874,1.0,4.9952
146511,28,43.6726,9.8466,-13.1304,-40.4712,16.4123,-1.6345,-0.9274,-1.0,33.3004,-12.8826,12.5419,28.0293,17.9795,1.227,2.3696,1.0,75.8978
146511,29,5.9617,3.9972,-1.8366,4.0225,4.3989,0.8196,-0.4307,1.0,3.5317,1.0228,-2.8564,1.8046,3.034,0.5644,-1.227,-1.0,2.9909
146511,30,0.402,-0.0249,-0.285,-0.262,0.2861,-0.8205,-1.6581,1.0,6.9139,-0.2718,6.7453,1.4892,6.7508,0.2188,1.6111,-1.0,3.1926
146511,31,114.7175,52.0295,-4.6465,-102.1344,52.2365,-1.4234,-0.0891,-1.0,26.4599,-25.0259,-8.0844,-2.9096,26.2993,-0.1104,-2.8291,1.0,89.4738
146511,32,5.9351,0.5488,5.8206,1.0164,5.8464,0.173,1.4768,-1.0,6.7023,0.1994,-6.289,2.3062,6.2921,0.3588,-1.5391,1.0,12.1608
146511,33,7.0807,1.6702,1.7385,-6.6569,2.4108,-1.7401,0.8054,-1.0,0.5015,0.4601,-0.1417,-0.0927,0.4814,-0.1914,-0.2987,1.0,2.2015
146511,34,0.9101,-0.308,0.3253,-0.7852,0.4479,-1.3273,2.3289,-1.0,1.0013,0.7628,0.2081,0.6052,0.7906,0.7055,0.2664,1.0,1.7691
146511,35,2.3587,1.612,-0.9381,1.4401,1.8651,0.7108,-0.527,-1.0,2.6228,-1.8195,1.079,-1.5469,2.1154,-0.6781,2.6063,1.0,4.974
146511,36,1.3437,-0.9886,-0.2713,-0.8622,1.0251,-0.7644,-2.8737,-1.0,4.347,-3.8913,-1.8342,-0.6152,4.3019,-0.1425,-2.7011,1.0,1.3979
146511,37,2.3751,-2.3508,0.3011,-0.1135,2.37,-0.0479,3.0142,-1.0,1.5498,0.6716,-0.4002,1.334,0.7819,1.304,-0.5374,1.0,3.3296
146511,38,2.1897,-1.8152,0.3451,1.1703,1.8477,0.5972,2.9537,-1.0,2.6514,1.8036,-0.1172,-1.9371,1.8074,-0.9312,-0.0649,1.0,4.7746
146511,39,1.8395,-1.0421,1.5118,0.033,1.8362,0.018,2.1743,1.0,1.7342,1.6258,0.0779,-0.5892,1.6277,-0.3545,0.0479,-1.0,3.0975
146511,40,2.0792,1.62,0.0298,-1.2987,1.6203,-0.7338,0.0184,1.0,0.6015,0.1678,0.5479,0.1496,0.573,0.2582,1.2736,-1.0,1.5284
146511,41,111.1207,31.9759,-38.504,99.2108,50.0501,1.4357,-0.8778,-1.0,0.3233,-0.0302,-0.2552,-0.1654,0.257,-0.6058,-1.6887,1.0,9.3258
146511,42,4.6966,-0.5009,-3.3046,-3.2979,3.3423,-0.8719,-1.7212,1.0,2.6225,0.1468,0.2893,-2.6002,0.3244,-2.7783,1.1013,-1.0,3.0927
146511,43,17.0097,1.7911,-4.3614,-16.3429,4.7149,-1.9564,-1.1811,1.0,19.3816,0.9862,-8.0773,-17.5904,8.1373,-1.5137,-1.4493,-1.0,3.2296
146511,44,2.1846,-0.6046,2.0511,0.4345,2.1383,0.2018,1.8575,-1.0,10.3652,5.8832,-8.2186,-2.295,10.1073,-0.2252,-0.9495,1.0,9.3879
146511,45,4.1492,3.0261,2.8299,0.1972,4.1431,0.0476,0.7519,1.0,18.5703,7.7722,4.269,-16.316,8.8675,-1.3697,0.5023,-1.0,9.4529
146511,46,2.8938,-0.9083,0.1309,-2.7424,0.9177,-1.8147,2.9985,-1.0,8.4468,-0.8338,-2.039,-8.1538,2.2029,-2.0196,-1.959,1.0,1.7906
146511,47,4.2081,-2.2695,2.0216,-2.9085,3.0393,-0.8506,2.4139,1.0,0.9518,0.9092,-0.0721,-0.2506,0.9121,-0.2714,-0.0791,-1.0,3.3156
146511,48,5.8232,-0.1543,1.4502,5.6367,1.4583,2.0615,1.6768,1.0,13.4182,-4.7555,1.8022,12.4167,5.0855,1.6253,2.7794,-1.0,3.1024
146511,49,7.3073,5.4074,3.4642,-3.485,6.4219,-0.5191,0.5698,-1.0,17.2887,0.0185,3.6583,-16.8969,3.6584,-2.2348,1.5657,1.0,10.4581
146511,50,11.8672,-0.7763,-6.2842,10.0363,6.3319,1.241,-1.6937,-1.0,40.849,-0.6165,-23.5237,33.3899,23.5318,1.1489,-1.597,1.0,1.6495
146511,51,3.7755,-0.4629,-2.9986,2.2444,3.0341,0.6849,-1.724,-1.0,2.3955,1.1284,1.7778,-1.1373,2.1056,-0.5168,1.0053,1.0,5.9095
146511,52,3.5739,0.417,1.4214,-3.2507,1.4813,-1.5274,1.2854,-1.0,9.1225,-2.7678,6.1149,6.1771,6.7121,0.8239,1.9958,1.0,9.5033
146511,53,5.4786,0.4366,-0.3006,5.4519,0.5301,3.0262,-0.6029,-1.0,5.1609,-0.3725,-2.9278,4.2323,2.9515,1.1576,-1.6974,1.0,2.998
146511,54,1.9023,-0.375,0.2928,1.8389,0.4757,2.0615,2.4786,1.0,2.6166,-2.2504,1.2229,-0.5252,2.5612,-0.2037,2.6438,-1.0,3.0831
146511,55,2.8691,2.6889,0.9686,0.2282,2.858,0.0798,0.3458,-1.0,16.5394,1.5513,-4.7306,15.772,4.9785,1.8703,-1.2539,1.0,9.4102
146511,56,2.5785,1.5017,1.3127,-1.6307,1.9945,-0.7464,0.7183,-1.0,10.8483,4.5714,6.551,-7.3391,7.9883,-0.8227,0.9615,1.0,1.0501
146511,57,5.0515,-1.0805,-3.9417,-2.9669,4.0871,-0.6738,-1.8383,1.0,2.7226,0.3058,-0.3507,-2.6805,0.4653,-2.4517,-0.8538,-1.0,3.0854
146511,58,0.9066,-0.2064,-0.7514,0.4511,0.7792,0.5506,-1.8389,-1.0,9.7564,2.1309,5.5196,7.7569,5.9166,1.0852,1.2024,1.0,4.4596
146511,59,0.6715,-0.6368,0.0712,0.1707,0.6408,0.2633,3.0302,-1.0,1.25,0.2461,-0.2313,1.1989,0.3377,1.9795,-0.7544,1.0,1.2799
146511,60,17.7416,-7.2908,14.9087,-6.2712,16.596,-0.3694,2.0256,-1.0,3.2937,-0.0697,2.9627,-1.4335,2.9635,-0.4666,1.5943,1.0,3.0917
146511,61,0.8164,0.2772,0.7356,0.1936,0.7861,0.2439,1.2105,-1.0,0.6557,-0.1333,-0.5464,-0.32,0.5624,-0.5421,-1.8101,1.0,1.4473
146511,62,5.3157,1.9419,-1.3361,-4.7634,2.3571,-1.4529,-0.6027,1.0,5.9011,0.5237,-4.0689,-4.2404,4.1025,-0.905,-1.4428,-1.0,3.0749
146511,63,4.7133,0.8527,-3.4003,-3.1488,3.5056,-0.8076,-1.3251,-1.0,5.2156,1.9811,3.9644,2.7476,4.4319,0.5859,1.1074,1.0,9.4906
146511,64,1.3011,-1.0204,0.6542,-0.4611,1.2121,-0.3718,2.5715,-1.0,1.8291,1.1738,-1.3315,0.4288,1.775,0.2393,-0.8483,1.0,3.052
146511,65,16.8096,-3.4143,-3.3343,16.1176,4.7723,1.9315,-2.368,-1.0,1.15,-0.8231,0.2148,0.7666,0.8506,0.8098,2.8863,1.0,3.1279
146511,66,3.1231,0.15,1.6394,2.6519,1.6463,1.2547,1.4796,1.0,3.5027,2.9628,0.3871,1.8249,2.9879,0.578,0.1299,-1.0,3.1725
146511,67,2.1848,0.5729,-1.8248,-1.0508,1.9126,-0.525,-1.2666,1.0,2.8192,-0.6279,1.0474,2.5388,1.2212,1.4784,2.1109,-1.0,4.7137
146511,68,1.4761,-1.2154,0.6594,0.5056,1.3827,0.358,2.6445,-1.0,0.3802,-0.2134,-0.1511,-0.2549,0.2615,-0.8634,-2.5255,1.0,1.0407
146511,69,2.2763,1.5278,1.6623,-0.27,2.2578,-0.1193,0.8275,-1.0,2.5946,0.4389,2.4004,0.8755,2.4402,0.3515,1.3899,1.0,1.728
146511,70,3.9663,0.7898,0.3965,-3.8652,0.8837,-2.1816,0.4653,1.0,0.9065,0.4787,0.603,-0.4668,0.7699,-0.5743,0.8998,-1.0,1.5397
146511,71,16.0883,11.4026,10.0266,5.3171,15.1839,0.3434,0.7213,1.0,4.7044,-0.0275,-2.1251,-4.1957,2.1252,-1.432,-1.5837,-1.0,15.4679
146511,72,5.0642,0.7615,2.29,4.4509,2.4133,1.3718,1.2498,1.0,4.4175,-0.3874,-1.9001,-3.9676,1.9392,-1.464,-1.7719,-1.0,9.4539
146511,73,0.5302,-0.1267,0.2848,-0.4157,0.3117,-1.099,1.9894,-1.0,40.5069,-5.1702,6.9705,-39.5662,8.6787,-2.2221,2.209,1.0,2.1909
146511,74,0.5703,-0.0559,-0.1406,-0.5396,0.1513,-1.984,-1.9493,1.0,40.8974,-13.9943,8.7986,-37.4076,16.5304,-1.5554,2.5803,-1.0,2.6846
146511,75,1.6115,-0.5922,1.4905,-0.1166,1.6038,-0.0726,1.949,1.0,1.905,0.5902,-0.8605,1.5903,1.0435,1.208,-0.9696,-1.0,3.13
146511,76,6.044,-2.5023,0.0466,-5.5004,2.5027,-1.5287,3.123,1.0,0.5862,-0.4157,-0.1718,-0.3609,0.4498,-0.7346,-2.7497,-1.0,1.0366
146511,77,3.4468,1.5463,-2.266,-2.0841,2.7433,-0.7009,-0.972,-1.0,10.9172,1.3152,-10.18,-3.7166,10.2646,-0.3546,-1.4423,1.0,3.0962
146511,78,1.3781,-1.2324,0.5677,-0.2166,1.3569,-0.1589,2.7099,-1.0,1.9818,1.9097,-0.0062,-0.5191,1.9097,-0.2686,-0.0033,1.0,3.1582
146511,79,4.7608,-3.0059,-0.0409,-3.6901,3.0062,-1.0335,-3.128,1.0,5.1132,3.0137,2.8519,2.9862,4.1492,0.6687,0.7578,-1.0,9.4392
146511,80,3.8281,1.9375,1.5305,-2.9235,2.4691,-1.0057,0.6686,-1.0,2.8324,-0.5722,2.5132,-1.1695,2.5775,-0.4394,1.7947,1.0,3.0649
146511,81,0.5183,-0.1736,-0.4741,0.0516,0.5048,0.102,-1.9218,1.0,1.7463,0.9944,-0.8264,-1.169,1.293,-0.8119,-0.6934,-1.0,1.2308
146511,82,4.6271,4.5112,0.0129,-1.0239,4.5112,-0.2251,0.0029,-1.0,4.8439,-4.6198,-0.0479,1.4517,4.62,0.3093,-3.1312,1.0,9.4607
146511,83,0.9027,0.3636,-0.8144,0.0906,0.8919,0.1015,-1.1509,1.0,1.9429,-1.3255,-0.9596,1.042,1.6364,0.6001,-2.515,-1.0,1.6559
146511,84,5.9781,-1.5478,-1.5753,-5.5542,2.2085,-1.6528,-2.3474,-1.0,1.2405,-0.0944,-1.0889,-0.5771,1.093,-0.5061,-1.6572,1.0,2.1728
146511,85,5.6026,-0.0303,2.2871,5.1133,2.2873,1.5443,1.584,1.0,2.6647,-1.4449,-0.5891,2.1575,1.5604,1.1279,-2.7544,-1.0,3.2286
146511,86,2.3399,0.413,1.3517,1.8618,1.4134,1.0889,1.2743,1.0,1.0384,0.2507,-0.3596,-0.9353,0.4384,-1.5018,-0.9621,-1.0,3.0215
146511,87,0.5822,-0.3219,0.3285,0.3409,0.46,0.6861,2.3461,-1.0,5.5381,-0.7542,1.7515,5.1984,1.907,1.728,1.9774,1.0,1.1358
146511,88,20.2073,-1.3614,-12.782,15.5914,12.8543,1.0242,-1.6769,1.0,5.3899,-3.301,-1.0458,4.1292,3.4627,1.0112,-2.8348,-1.0,7.3056
146511,89,5.0435,-0.1287,4.5214,2.2284,4.5232,0.4746,1.5992,-1.0,10.3598,-3.867,9.3551,2.2007,10.1228,0.2157,1.9628,1.0,3.0203
146511,90,5.6638,5.3316,-0.6601,1.7904,5.3723,0.3274,-0.1232,1.0,4.3842,3.8499,1.205,1.7136,4.0341,0.4129,0.3033,-1.0,2.0217
146511,91,2.9759,2.1582,1.8872,0.7909,2.8669,0.2725,0.7185,1.0,25.6447,23.539,9.6775,3.1468,25.4507,0.1233,0.3901,-1.0,3.0899
146511,92,23.0407,-5.7498,-3.8941,-21.969,6.9444,-1.8689,-2.5463,1.0,16.2261,-3.2167,-2.4457,-15.7145,4.0408,-2.0674,-2.4915,-1.0,1.1132
146511,93,0.7866,-0.4126,0.3375,0.5687,0.533,0.9279,2.456,-1.0,0.9332,-0.1497,-0.915,0.0102,0.9272,0.011,-1.733,1.0,1.4046
146511,94,2.4968,-2.0243,-0.6789,-1.2901,2.1351,-0.5724,-2.818,-1.0,6.9396,-0.2875,1.5457,-6.7583,1.5722,-2.1647,1.7547,1.0,4.2631
146511,95,1.8139,-0.0585,-1.759,0.4259,1.76,0.2397,-1.604,-1.0,8.8597,0.8163,-4.6508,7.4958,4.7219,1.2423,-1.397,1.0,3.0842
146511,96,9.5709,5.391,7.634,-2.0618,9.3456,-0.2189,0.9559,1.0,5.8292,-1.287,-5.6671,0.4422,5.8114,0.076,-1.7941,-1.0,14.6229
146511,97,1.3334,-0.4181,1.0556,0.6912,1.1354,0.5764,1.9479,-1.0,2.706,-2.3896,1.2244,0.3194,2.685,0.1187,2.6681,1.0,1.4881
146511,98,11.3655,-5.7067,-3.3357,-9.2451,6.6101,-1.1372,-2.6126,1.0,1.9239,-0.6939,-0.2044,-1.7796,0.7233,-1.6324,-2.8551,-1.0,1.2516
146511,99,46.7225,-28.4189,11.2577,35.3357,30.5675,0.9875,2.7644,-1.0,43.5342,26.0707,-8.4331,-33.8292,27.4007,-1.0379,-0.3128,1.0,90.1693
146511,100,44.3786,8.0215,-26.575,34.6248,27.7592,1.0459,-1.2776,1.0,48.8537,-8.0851,23.4892,-42.0661,24.8417,-1.2975,1.9023,-1.0,92.8836
146511,101,2.4297,0.1969,2.4096,0.217,2.4177,0.0896,1.4893,-1.0,2.651,-0.3261,0.4674,2.5869,0.5699,2.2178,2.18,1.0,3.1077
146511,102,12.7265,-3.3445,3.3205,11.8212,4.7129,1.6503,2.3598,1.0,3.2205,-0.5561,1.2943,2.8941,1.4087,1.4677,1.9766,-1.0,1.1199
146511,103,42.7958,-42.2616,-2.9054,-6.0817,42.3613,-0.1431,-3.073,1.0,73.2658,13.4237,33.5954,63.7105,36.178,1.3314,1.1907,-1.0,91.519
146511,104,4.4202,-0.4153,-1.5695,-4.1098,1.6235,-1.6589,-1.8295,1.0,7.2901,6.7063,2.1717,1.8558,7.0492,0.2603,0.3132,-1.0,9.5974
146511,105,4.9133,-2.7605,-0.6749,-4.0067,2.8419,-1.1437,-2.9018,-1.0,15.4681,-3.9699,-0.8037,-14.928,4.0504,-2.0155,-2.9418,1.0,3.0653
146511,106,6.1441,1.6624,-1.3185,5.7652,2.1218,1.725,-0.6705,1.0,15.1794,2.6543,-4.3129,14.3093,5.0642,1.7618,-1.0191,-1.0,1.1668
146511,107,0.5793,-0.3303,-0.0841,-0.4564,0.3408,-1.102,-2.8924,-1.0,0.9576,-0.4721,0.5617,0.6062,0.7338,0.7529,2.2698,1.0,1.2115
146511,108,1.7531,-1.2173,-0.5063,1.1506,1.3183,0.7885,-2.7475,-1.0,5.0553,-2.3138,-0.6531,4.4458,2.4042,1.3741,-2.8665,1.0,1.1052
146511,109,42.4128,17.0262,-31.0509,-23.3406,35.4126,-0.6188,-1.0692,1.0,46.9702,-15.6806,32.0073,30.5915,35.642,0.7775,2.0263,-1.0,89.0732
146511,110,3.3457,2.2149,0.4007,-2.4731,2.2508,-0.9495,0.179,1.0,6.5927,-1.7908,-1.6932,6.1138,2.4646,1.64,-2.3842,-1.0,9.147
146511,111,0.2843,0.2428,0.0952,0.0403,0.2609,0.154,0.3738,1.0,4.628,2.0653,-2.0944,-3.5714,2.9414,-1.025,-0.7924,-1.0,1.529
146511,112,4.4289,-1.559,-3.7955,1.6635,4.1032,0.3951,-1.9605,-1.0,11.5873,-5.4201,-8.5363,5.6575,10.1117,0.5338,-2.1365,1.0,1.462
146511,113,9.8595,-0.944,-4.1873,8.8755,4.2924,1.4735,-1.7925,1.0,3.2719,-0.8937,0.2783,3.1334,0.936,1.923,2.8397,-1.0,3.0925
146511,114,9.6212,3.4482,-0.3494,8.9746,3.4659,1.6799,-0.101,1.0,4.4239,-2.1419,0.657,-3.8132,2.2404,-1.3019,2.844,-1.0,12.9932
146511,115,20.9612,-8.6162,-1.4009,-19.0568,8.7293,-1.5226,-2.9804,-1.0,1.7971,0.3773,1.7526,0.0673,1.7928,0.0376,1.3588,1.0,9.4521
146511,116,4.5024,2.4614,-1.4886,-3.4621,2.8765,-1.0183,-0.5439,1.0,4.896,-1.8116,1.1919,4.3883,2.1686,1.4541,2.5597,-1.0,9.3254
146511,117,1.4507,-0.7947,0.8905,0.8179,1.1935,0.6406,2.2994,-1.0,1.9136,1.0318,-1.6001,0.1611,1.9039,0.0845,-0.9981,1.0,3.1306
146511,118,4.3185,-0.2071,-0.5539,-4.2765,0.5913,-2.6764,-1.9286,1.0,8.0383,-0.6212,-2.4983,-7.6142,2.5744,-1.805,-1.8145,-1.0,1.1401
146511,119,1.5149,0.4025,-0.234,1.4378,0.4656,1.8459,-0.5265,1.0,1.5521,0.0053,-0.2225,-1.5324,0.2226,-2.6275,-1.5468,-1.0,3.0038
146511,120,4.1847,-1.106,-0.5576,3.9958,1.2387,1.8875,-2.6746,1.0,1.7437,-1.2506,1.1152,0.4708,1.6756,0.2774,2.4134,-1.0,3.0546
146511,121,1.7818,-1.3224,-1.1428,-0.3298,1.7478,-0.1876,-2.4289,1.0,3.4625,-2.3278,0.6962,2.4646,2.4297,0.8915,2.851,-1.0,3.0695
146511,122,1.3675,-0.3594,-1.178,0.585,1.2316,0.4587,-1.8669,1.0,5.0231,0.7255,-4.4858,2.1382,4.5441,0.4547,-1.4104,-1.0,1.1011
146511,123,11.5581,0.5305,-4.1064,-10.7905,4.1406,-1.6859,-1.4423,1.0,15.9678,-0.2865,-3.7352,-15.5218,3.7462,-2.1289,-1.6473,-1.0,1.9468
146511,124,1.0681,-0.1544,-0.9897,0.3555,1.0016,0.3479,-1.7255,-1.0,0.8735,0.216,0.7714,-0.3319,0.8011,-0.4032,1.2978,1.0,1.9282
146511,125,9.309,-1.4202,-5.6716,7.2431,5.8468,1.0406,-1.8162,-1.0,5.8339,0.3302,-0.2274,5.8191,0.4009,3.3696,-0.603,1.0,4.7644
146511,126,3.2241,-1.1221,-1.9017,-2.347,2.208,-0.9252,-2.1039,1.0,2.3713,0.4778,1.798,1.4666,1.8604,0.7235,1.3111,-1.0,5.487
146511,127,0.5077,-0.1827,-0.4214,-0.1888,0.4593,-0.4003,-1.98,1.0,1.1141,0.7096,0.7862,0.3294,1.059,0.3062,0.8366,-1.0,1.4832
146511,128,6.2537,-2.3716,4.981,-2.9431,5.5168,-0.511,2.0152,1.0,1.6306,-1.0012,0.9041,-0.9099,1.349,-0.6317,2.4071,-1.0,1.1425
146511,129,2.719,2.2575,0.6183,-1.3796,2.3407,-0.5597,0.2673,-1.0,7.1375,1.7955,2.3305,-6.5021,2.942,-1.5338,0.9143,1.0,3.1475
146511,130,0.5112,0.4582,0.1097,-0.168,0.4712,-0.3493,0.2349,1.0,0.8102,-0.6049,-0.192,0.4924,0.6346,0.7137,-2.8342,-1.0,1.2699
146511,131,46.2995,44.4567,5.5087,11.7001,44.7967,0.2583,0.1233,1.0,47.2163,-45.093,-11.9943,-7.2193,46.661,-0.1541,-2.8816,-1.0,93.1808
146511,132,0.7218,-0.0644,-0.6183,-0.3513,0.6217,-0.5387,-1.6746,1.0,6.737,0.9268,3.0205,-5.9492,3.1595,-1.39,1.2731,-1.0,3.0697
146511,133,1.3515,-0.2894,0.3265,-1.2748,0.4363,-1.7934,2.2961,1.0,3.1839,-2.0675,-2.2119,0.9794,3.0277,0.3181,-2.3224,-1.0,3.3724
146511,134,7.3391,0.3483,-2.6052,-6.8515,2.6284,-1.6862,-1.4379,1.0,9.2146,1.5941,-6.0323,-6.78,6.2394,-0.9413,-1.3124,-1.0,3.1352
146511,135,1.0064,0.5584,0.7817,-0.2808,0.9606,-0.2883,0.9505,1.0,1.0512,-0.3981,-0.6871,0.6807,0.7941,0.7767,-2.0959,-1.0,2.0097
146511,136,69.8758,28.8115,-49.0568,-40.5703,56.8918,-0.6634,-1.0398,-1.0,54.5465,-25.4054,29.2866,-38.3688,38.7704,-0.874,2.2853,1.0,94.0588
146511,137,12.1218,1.9885,1.9462,-11.7977,2.7824,-2.1514,0.7747,-1.0,1.3867,0.1481,0.5833,-1.2448,0.6018,-1.4738,1.3221,1.0,1.1871
146511,138,5.9555,-2.7684,0.5087,5.2473,2.8148,1.3812,2.9599,1.0,5.5131,1.2788,4.9723,-2.0059,5.1341,-0.3814,1.3191,-1.0,9.4213
146511,139,0.5784,-0.3138,0.3397,-0.3309,0.4624,-0.6654,2.3166,-1.0,0.9132,-0.2439,-0.7165,-0.4999,0.7569,-0.6199,-1.8988,1.0,1.04
146511,140,1.2004,1.0642,0.4699,0.2764,1.1633,0.2354,0.4158,-1.0,1.8996,1.7359,-0.3055,-0.7006,1.7625,-0.3877,-0.1742,1.0,1.2501
146511,141,2.3345,1.2316,-1.7953,0.836,2.1772,0.3751,-0.9695,1.0,3.6233,0.4447,0.1699,3.5903,0.4761,2.718,0.365,-1.0,3.2329
146511,142,70.2975,-15.9568,52.2044,-44.2923,54.5886,-0.7415,1.8674,-1.0,30.158,13.0342,-25.7815,8.6556,28.889,0.2953,-1.1027,1.0,90.0813
146511,143,3.2987,-0.7942,-2.2802,2.2451,2.4145,0.8309,-1.906,1.0,2.1664,-1.9249,0.4491,0.8804,1.9766,0.4319,2.9124,-1.0,3.0581
146511,144,28.5336,-3.694,-5.0737,-27.8346,6.276,-2.1952,-2.2001,1.0,3.4338,-0.6418,-2.5198,-2.2402,2.6003,-0.78,-1.8202,-1.0,6.3999
146511,145,7.5352,-2.4696,1.0137,-7.0457,2.6695,-1.6978,2.7521,-1.0,3.7138,-0.2141,0.2445,-3.698,0.325,-3.1269,2.2901,1.0,1.5255
146511,146,2.8202,1.5718,-0.1918,-2.3313,1.5835,-1.1793,-0.1214,-1.0,1.402,1.2725,0.4505,-0.3639,1.3499,-0.2664,0.3402,1.0,1.5512
146511,147,1.313,0.0069,1.1095,0.6941,1.1095,0.5907,1.5646,-1.0,0.7825,-0.0894,-0.7561,-0.1462,0.7614,-0.1909,-1.6884,1.0,1.9897
146511,148,6.4538,6.4137,0.0602,0.7074,6.414,0.1101,0.0094,-1.0,0.5389,0.3085,-0.2541,0.3457,0.3997,0.7827,-0.6891,1.0,1.6009
